Fecha,Emisor,Respuesta para ,Texto
30/07/2025 14:52,Tania,,"Lo que más me interesa es evitar malentendidos más adelante. Quiero paz, por eso preferiría que si la camioneta va a seguir siendo usado por nosotros de alguna forma esto se formalice a mi nombre para poder hacer los trámites necesarios como verificar, placas especiales para tampoco tener la preocupación del no circula y sin depender de terceros. Si eso no es posible o tienes complicaciones con eso, preferiría entregarla y así cerrar este tema sin problemas… Tú dime qué es más viable. 
Igual sabes que la camioneta es muy útil más que nada por Demian y no tanto por comodidad, pero dime traumada si quieres pero no me quiero ver en una situación igual o parecida a lo del año antepasado porque yo no se en que momento puedas cambiar de parecer o te enojes o que se yo y me vuelva a pasar lo mismo de la vez pasada. Mi motivo en todo esto es que quiero paz y nada más tanto para mi como para Demian no una mortificación más. Entonces si esto es muy complicado yo elijo tener paz y tranquilidad… preferiría no tener responsabilidades sobre algo que legalmente no es mío y me pueda traer problemas tan grandes a futuro que me comprometan incluso con trabajo, y con Demi."
31/07/2025 09:58,Vicente,,"Claro, te entiendo, y me interesa entender todo lo que puedas estar pensando."
31/07/2025 10:03,Vicente,,"Problemas legales como los que mencionas, no es tema de discusión. En cuanto al uso, y tus preocupaciones yo no veo inconvenientes, por eso mencioné que si hay que hacer algo se hace."
31/07/2025 10:06,Vicente,,"Tengo muy claro que esto no es comodidad, es la movilidad de Demi, al final es la prioridad de ambos; si tu consideras que hay un problema en lugar de una solución, nos organizamos de la mejor manera"
31/07/2025 10:43,Tania,,Si porque la vez pasada me iba a llevar la grúa y tuve que darles mordida porque pues si no hacia eso no iba a poder sacarla sin tener que pedirle a la dueña que venga a sacarla… entonces si es una opción cambiarla de nombre le damos
31/07/2025 20:30,Vicente,,"Si, de acuerdo"
08/08/2025 09:14,Vicente,,
08/08/2025 09:17,Vicente,,
31/08/2025 11:21,Vicente,,
10/09/2025 09:02,Vicente,,"Hola, me toca descanso, estarías  de acuerdo si paso un tiempo con Demi?"
14/09/2025 12:10,Vicente,,"Cómo les va? Aún me quedan unos días y tú sabes que Demi es  importante, espero que no veas con malas intenciones mi mensaje. Crees que le pueda invitar una hamburguesa?"
14/09/2025 12:23,Tania,,"Hola! Bien… oye, si estuve pensando lo de que pases un tiempo con Demi, pero tú sabes bien que mi principal preocupación siempre es y será protegerlo. Yo se que esto de buscarlo lo harás solo un tiempo hasta que conozcas a alguien más o te manden a otro proyecto lejos y no quisiera que Demian pase más desajustes, sabes a que me refiero. 

Ahorita el está bien, está más tranquilo con todos los cambios que tuvimos que hacer y Justo el jueves entro en nuevo tratamiento, además que volvió a la alimentación celiaca… al menos no come procesados ni lácteos ni gluten. 

No se que tan complicado pueda o no ser para el, para mi… la interacción entre ustedes"
14/09/2025 12:54,Vicente,,"Gracias por contestar, y si, tu misión en esta vida es protegerlo, pero yo no le voy a hacer daño ni le voy a fallar ni hay proyecto que valga la pena y justo por ello es que te escribí. Si la hamburguesa no es viable por su tratamiento pues tú me podrás decir que sí o que no, de menos un jugo natural. Igual yo estuve viendo un tratamiento que quisiera probar pero no te he comentado nada para que no me malinterpretes.

Si crees que le voy a hacer daño o vaya a  repercutir negativamente, tú eres su mamá y sabes lo que es mejor para él pero no lo voy a dejar tirado"
14/09/2025 12:57,Vicente,,"Igual yo también he pensado que no lo he buscado, pero si no lo llamo no es por desatendido, simplemente no soy Ramón y no tengo ese derecho natural para llamarle, necesito que tú estés de acuerdo"
14/09/2025 13:35,Vicente,,"Estaré aún lunes y martes, gracias por tomarte el tiempo de pensarlo"
15/09/2025 11:00,Tania,,"Si está tomando jugos naturales sin azúcar. 

Que tratamiento?

Dame chance de digerirlo, no? Igual no se tengo que ver que opina Demian.

Oye, ando buscando el medicamento de Demian Piracetam (nootropil de 800mg) es parte del tratamiento que inicia. Entonces le escribí a ghersa"
15/09/2025 11:10,Vicente,,"Claro, a mi me queda aún mañana completo. Toda medicina de Demi o tuya cárgalo a Ghersa"
15/09/2025 11:11,Vicente,,"Del tratamiento, es el que querías probar, estoy por cobrar un dinero de una licitación que le ayudé a ganar a Diego. Ya me puse en contacto, tengo la info y todo"
15/09/2025 11:11,Tania,,El de Santa Fe?
15/09/2025 11:11,Vicente,,Sé que está lejos e implica vueltas y demás por eso hasta no tener el dinero no quiero confirmarles
15/09/2025 11:12,Vicente,"➜ Respuesta para Sin nombre, 2025-09-15 11:11:24: « El de Santa Fe? »",Si
15/09/2025 11:13,Tania,,"Ya, pues podria ser. Y podría funcionarle"
15/09/2025 11:15,Vicente,,Ya tengo todos los datos
15/09/2025 11:15,Vicente,,"Hay que ir a consulta de evaluación, luego un electro, luego las sesiones y al final otro electro"
15/09/2025 11:15,Vicente,,"20 o 30 sesiones, según yo ya tenías todos esos datos"
15/09/2025 11:17,Tania,,Si ya tenia eso
15/09/2025 11:21,Vicente,,Qué tratamiento empezaron? Es de psiquiatra o por qué le dieron medicamento?
15/09/2025 12:27,Tania,,Es un centro integral de neuropediatria tiene paido nutrición y todo
15/09/2025 12:27,Tania,,Todos son neuros y ese medicamento es básicamente oxígeno para el cerebro
15/09/2025 12:42,Vicente,,"Suena muy bien, espero le de buenos resultados y que no le descompense otras cosas la nueva pastilla, ya medio estoy leyendo del medicamento"
16/09/2025 10:09,Vicente,,"Hola, buen día. No quiero incomodarte, qué dijo el Demi de ir a comer algo? Qué piensa la mamá de Demi? Solo quiero decir que comprendo perfectamente que no quieras que lo lastime, y justo por ello es que me atreví a escribirte; tú sabes mi sentir respecto al niño.

Respecto al tratamiento de Santa Fe, si consideras que va a aportar a su desarrollo, vale la pena probar, cada intento cuenta"
16/09/2025 16:29,Tania,,"Hola! Apenas estoy viendo… no le dije no se cómo decirle, el ha estado muy confundido. Y estuve ocupada aún estoy acomodándonos y eso y ahorita estamos en terapia"
16/09/2025 16:30,Tania,,Creo que sería buena idea la próxima vez que vengas se encuentren en mc Donald’s y asi más ocasional
16/09/2025 16:30,Tania,,O no se la verdad
16/09/2025 16:30,Vicente,,"Ya, pues lo dejo a tu decisión"
16/09/2025 16:30,Vicente,,Peor un jugo
16/09/2025 16:30,Tania,,No se que pensar
16/09/2025 16:30,Vicente,,Un saludo
16/09/2025 16:31,Vicente,,Demian no se va a quedar varado
16/09/2025 16:32,Vicente,,"La decisión es 100% tuya. Yo aun paso la noche aquí, si lo consideras podría de menos darle un abrazo"
16/09/2025 16:33,Vicente,,"Si por alguna razón llegas a estar de acuerdo iré a comprarle algún detalle bobo, no pasa nada si no se lo entrego"
16/09/2025 16:33,Vicente,,Gracias!!!
16/09/2025 17:34,Tania,,Lo sé pero esto tampoco es tan sencillo para mi. Ahorira ya salimos de terapia pero está cansado y llueve. Preferiría que fuera en la próxima mañana va a la escuela
16/09/2025 17:53,Vicente,,"De acuerdo, ya empieza a ser su hora de prepararse para dormir, y vaya que llueve; espero le haya ido bien en su terapia. Que pase buena noche por aquello de los truenos"
16/09/2025 17:56,Tania,,Si ya se está acomodando a dormir gracias por entender
16/09/2025 18:05,Vicente,,A ti
30/09/2025 08:29,Vicente,,"Hola! Cómo le ha ido a Demi con sus nuevas terapias y tratamiento? Te reenvié info de lo de la terapia magnética, y tengo ya 3 clínicas identificadas (contando la que ya conoces). Has pensado si le vendría bien tomarla? O de menos explorar?"
01/10/2025 08:57,Tania,,Hola! Le ha ido bien con las terapias y el medicamento la verdad muy muy bien. Vi la info pero ahí dice que no se recomienda en epilépticos y demian todavía se considera epiléptico aún que tenga tiempo sin crisis y eso si me daría miedo sería de preguntar bien en la consulta o que se yo.
01/10/2025 08:59,Tania,,"Y choque con un microbús… estamos bien, no fue muy fuerte pero si tengo que arreglar le una parte a la camioneta y pues el microbús se fue yo ya ni supe si fue mi culpa o de él porque justo en ese momento que pasó todo yo tuve una crisis y básicamente no entendí que pasó"
01/10/2025 09:00,Tania,,No se si puedo usar el seguro o la llevo aparte a la agencia o que hago
01/10/2025 09:00,Tania,,Al final yo no sé cómo debo hacer esto que además el seguro está a nombre de Laura y la camioneta y todo entonces no sé
01/10/2025 09:00,Tania,,Yo solo quiero repararla
01/10/2025 09:00,Tania,,Pero no quiero llevarla a cualquier lugar
01/10/2025 09:01,Tania,,Y de una vez cambiarle la llanta esa que se le baja a cada rato si es que me alcanza después de saber cuánto va ser de la reparación
01/10/2025 09:01,Tania,,Y pues bueno quería enterarte al final no me la prestaron por mi
01/10/2025 09:01,Tania,,Y que sepas que la repararé
01/10/2025 09:02,Tania,,Y vi que el seguro vence el 4 de este mes
01/10/2025 09:02,Tania,,Entonces no se si contratar otro o pagar ese I que hacer
01/10/2025 09:02,Vicente,,Demian está bien?
01/10/2025 09:02,Vicente,,Se espantó
01/10/2025 09:02,Vicente,,?
01/10/2025 09:03,Vicente,,Tú estás bien?
01/10/2025 09:03,Tania,,Si se espantó pero me vio peor a mí y el mejor se puso a abrazarme a mí
01/10/2025 09:04,Tania,,Íbamos al cine a la plaza de Santa Fe
01/10/2025 09:04,Vicente,,"Están bien Tania, verdad? El niño está tranquilo? Tú necesitas algo?"
01/10/2025 09:04,Tania,,Si estamos bien sólo el susto
01/10/2025 09:04,Tania,,Y la vergüenza porque pasó eso
01/10/2025 09:04,Vicente,,"Golpes? Ir al
Médico, nada? Los fierros no importan no seas boba"
01/10/2025 09:04,Tania,,Solo necesito saber cómo debo hacer para repararla
01/10/2025 09:04,Vicente,,Los accidentes suceden
01/10/2025 09:05,Vicente,,Quieres otro vehículo?
01/10/2025 09:05,Tania,,"No, solo quiero repararla"
01/10/2025 09:05,Vicente,,El seguro no sé cómo aplique cuando ya te fuiste
01/10/2025 09:05,Tania,,Es solo una pieza creo pero el tema es que no me deja abrir la puerta del copiloto
01/10/2025 09:06,Tania,,Entonces tendré que hacerlo directo en agencia?
01/10/2025 09:06,Vicente,,"Muy seguramente es absorber el deducible, si quieres repórtalo"
01/10/2025 09:06,Vicente,,O si quieres le digo a Gerardo que me recomiende un taller
01/10/2025 09:06,Vicente,,Lo que tú decidas está bien
01/10/2025 09:06,Tania,,Ósea lo reportó y les pagó el deducible y ya?
01/10/2025 09:06,Tania,,Es que no sé
01/10/2025 09:07,Tania,,No quiero llevarla a un taller quiero repararla en la agencia no quiero que quede mal
01/10/2025 09:08,Vicente,,Pues entonces a la agencia Tania
01/10/2025 09:09,Vicente,,Es tu tranquilidad y la seguridad del niño
01/10/2025 09:09,Vicente,,Va a costar lo que vaya a costar
01/10/2025 09:09,Vicente,,Me avisas cuando tengas el presupuesto y de una vez lo de la llanta
01/10/2025 09:10,Vicente,,No descartes llamarle al seguro
01/10/2025 09:10,Tania,,"No te digo  para que lo pagues. Fue mi culpa, yo solo necesito saber cómo hacerlo"
01/10/2025 09:10,Vicente,,"No voy a discutir temas de dinero, es la seguridad de Demian"
01/10/2025 09:11,Vicente,,De deducible deben ser unos 12 o 15
01/10/2025 09:12,Tania,,En la hoja que viene en la guantera dice deducible 5%
01/10/2025 09:12,Tania,,Pero no se si sea eso
01/10/2025 09:12,Vicente,,De agencia directo no tengo idea
01/10/2025 09:13,Tania,,Al rato hablo entonces
01/10/2025 09:13,Vicente,,Si
01/10/2025 09:13,Vicente,,Di que te pegaron y se fueron y que tú te tenías que mover
01/10/2025 09:13,Vicente,,No quieres echarles la culpa quieres que te lo reparen y ya
01/10/2025 09:14,Vicente,,Y ya con el seguro que pidan piezas originales y el taller autorizado de la agencia
01/10/2025 09:14,Tania,,Ok
01/10/2025 09:15,Vicente,,Puedes manejar bien? No la sientes rara
01/10/2025 09:15,Tania,,Si se maneja bien no se siente rara de nada
01/10/2025 09:16,Vicente,,Ok
01/10/2025 09:16,Tania,,Al rato te mando foto para que tengas una idea más clara
01/10/2025 09:16,Vicente,,Te espantaste?
01/10/2025 09:16,Tania,,Ahorita estoy en la oficina
01/10/2025 09:16,Vicente,,Están bien ambos verdad?
01/10/2025 09:17,Tania,,"Si, estamos bien no nos pasó nada Demian yo creo que ya no se acuerda"
01/10/2025 09:17,Tania,,O no se que piense pero el se ve tranquilo
01/10/2025 09:17,Vicente,,Tú?
01/10/2025 09:18,Tania,,Bien solo angustiada por que no entendí como pasó y que ahora tengo que hacerme cargo de eso y tuve que continuar como si nada y no me sentía bien de la cabeza
01/10/2025 09:18,Tania,,Entonces es eso nada más
01/10/2025 09:18,Tania,,Ni nos aventó ni nada el golpe creo
01/10/2025 09:19,Vicente,,Los fierros son fierros Tania
01/10/2025 09:19,Vicente,,Se reparan o se consiguen nuevos
01/10/2025 09:19,Vicente,,Por eso no debes estresarte
01/10/2025 09:19,Tania,,Si pero no son míos y no creo que la dueña piense que sólo son fierros
01/10/2025 09:20,Tania,,Si me da pena
01/10/2025 09:20,Vicente,,Fue un accidente y los accidentes pasan ok?
01/10/2025 09:20,Vicente,,No pienses en esas cosas
01/10/2025 09:20,Vicente,,No te angusties por algo que es material y se va a resolver
01/10/2025 09:21,Vicente,,"No fue culpa tuya ni de Demi, y me da mucho gusto que estén bien"
01/10/2025 09:22,Vicente,,"Ahora, del mert, si quieres ir a la consulta con cada uno de ellos y hacer todas las preguntas que quieras agenda la cita son 3 Ker, rome y neuro wave"
01/10/2025 09:23,Tania,,Déjame leer sobre ellas
01/10/2025 09:24,Tania,,Solo se de Ker
01/10/2025 09:24,Vicente,,Te paso los contactos
01/10/2025 09:24,Tania,,Si
01/10/2025 09:25,Vicente,,https://romepsiquiatria.com/
01/10/2025 09:26,Vicente,,https://neurowave.com.mx/
01/10/2025 12:27,Vicente,,"Espera…no abre la puerta del copiloto, le pegaron del lado de Demian verdad!?!?!? La decisión es tuya y dices que todo aparenta estar bien, pero no quieres ir al hospital a tomarse placas? No pretendo decirte qué hacer solo quiero que estés tranquila sabiendo que todo está en orden"
01/10/2025 15:53,Tania,,Todo está bien no pasó más que el arrimon
01/10/2025 15:53,Tania,,Yo alcancé a medió volantear
01/10/2025 15:53,Tania,,Entonces no fue de llenó
01/10/2025 15:53,Tania,,Ahorita te mando foto
01/10/2025 15:55,Tania,,Ya en unos minutos hablo al seguro a ver qué me dicen
01/10/2025 15:56,Tania,,Me preocupa que vence el seguro el 4 de octubre
01/10/2025 16:20,Vicente,"➜ Respuesta para Sin nombre, 2025-10-01 15:56:55: « Me preocupa que vence el seguro el 4 de octubre »",La póliza se renueva en automático pero si es mejor que lo reportes de una vez
01/10/2025 16:20,Vicente,"➜ Respuesta para Sin nombre, 2025-10-01 15:56:55: « Me preocupa que vence el seguro el 4 de octubre »",Y que no se ponga a buscarle el ajustador
01/10/2025 16:21,Vicente,"➜ Respuesta para Sin nombre, 2025-10-01 15:56:55: « Me preocupa que vence el seguro el 4 de octubre »",Que te den la orden de taller y se cubre el deducible
01/10/2025 17:34,Tania,,Bueno solo que ya ahorita no alcanzo porque estoy conteniendo la diarrea de demian le dio apenas y trae un desmadre 🫩 mañana en la mañana temprano le hablo al seguro
01/10/2025 17:34,Tania,,Y ya que me den la póliza y eso
01/10/2025 17:34,Tania,,Digo la orden
01/10/2025 17:35,Tania,,
01/10/2025 17:35,Tania,,
01/10/2025 17:35,Tania,,
01/10/2025 17:35,Vicente,,Le cayó mal algo?
01/10/2025 17:35,Tania,,"Ese es el golpe, no abre la puerta por que esa pieza se juntó mucho con la de la puerta entonces por eso no se puede abrir el golpe no fue directo en la puerta"
01/10/2025 17:35,Tania,"➜ Respuesta para usted, 2025-10-01 17:35:26: « Le cayó mal algo? »",No tengo idea solo empezó en la tarde
01/10/2025 17:36,Vicente,,Es pieza completa
01/10/2025 17:36,Vicente,,Y el cofre se ve descuadrado
01/10/2025 17:36,Vicente,,Mételo vía seguro
01/10/2025 17:37,Vicente,,"Se ve que se te cerró, qué bueno que ustedes están bien. El vehículo se repara ustedes dos no"
01/10/2025 17:37,Tania,,Si pues ya mañana ahorita ando con esto
01/10/2025 17:38,Vicente,,Si necesita algo se lo mando
01/10/2025 17:38,Vicente,,O te lo reembolso
01/10/2025 17:38,Vicente,,O lo que sea necesario
01/10/2025 17:39,Tania,,"No, ya aquí tengo lo necesario ntp"
01/10/2025 17:39,Tania,,Gracias
01/10/2025 17:39,Vicente,,No hay de qué
02/10/2025 07:47,Vicente,,"Hola, me quedé con el pendiente. Cómo pasó la noche Demi? Se le cortó la diarrea?"
02/10/2025 10:07,Tania,,Pasó bien la noche pero sigue haciendo agua
02/10/2025 10:07,Tania,,Le hice dieta blanda y al rato que llegue el seguro lo llevo al doctor
02/10/2025 11:19,Tania,,Ya me harán llegar la orden de servicio
02/10/2025 11:19,Vicente,,"Ojalá solo sea una bacteria, quizá algo que comió en la escuela o qué sé yo, no trae vómito verdad? O fiebre?"
02/10/2025 11:19,Tania,,Pero dice que el deducible son 24 mil pesos
02/10/2025 11:19,Tania,"➜ Respuesta para usted, 2025-10-02 11:19:41: « Ojalá solo sea una bacteria, quizá algo que comió en la escuela o qué sé yo, no trae vómito... »",Fiebre poca
02/10/2025 11:20,Vicente,"➜ Respuesta para Sin nombre, 2025-10-02 11:19:42: « Pero dice que el deducible son 24 mil pesos »",Pues ni hablar no?
02/10/2025 11:27,Vicente,,Lo importante es que te la dejen bien de todo
02/10/2025 11:32,Tania,,Pues si ya que
02/10/2025 11:38,Vicente,,"No te estreses, ya se está solucionando y a ustedes no les pasó nada, eso es siempre lo más importante"
02/10/2025 11:41,Tania,,"Bueno, pienso ir a la agencia a cotizar sin meter al seguro… y ver que conviene más. Sabes que ni para lo mío mío buscaría un hojalatero equis esas cosas no me gustan y más si el vehículo no es mío así que por ese lado puedes estar tranquilo. Esa camioneta el día que tenga que regresar con su dueña pues que la encuentre como la dejo y punto"
02/10/2025 11:45,Vicente,,"Es buena idea y ya luego comparas, es el vehículo de ustedes y te debe dar seguridad y hacerte sentir cómoda. Y ya de paso en la agencia podrías pedir la cotización de la llanta"
02/10/2025 17:35,Vicente,,"Disculpa, tuvieron que ir al doctor? Qué dijo?"
02/10/2025 17:58,Tania,,"No, ya está mejorando no tiene temperatura y ya no va al baño"
02/10/2025 17:58,Tania,,Todo bien
02/10/2025 18:35,Vicente,,"Qué bueno, supongo salió todo lo que tenía que salir"
04/10/2025 12:16,Vicente,,"Hola, comentaste que en mi siguiente visita habría la posibilidad de convivir con Demian; voy a estar en la ciudad del 11 al 21"
04/10/2025 12:16,Vicente,,"Te parece el sábado, aunque sea algo breve? Si prefieres otro día me ajusto de manera que funcione"
04/10/2025 12:17,Vicente,,"Entiendo todas tus preocupaciones, en particular que el día de mañana cambie o lo abandone, fuiste muy clara y lo respeto. No te pido que me creas solo por palabras, te pido la oportunidad de demostrar que puedo ser constante y que voy a estar para apoyarlo y protegerlo ahora y en lo que venga. Si fallo, tú decides qué sigue"
04/10/2025 12:17,Vicente,,"Demi es mi hijo, el vínculo que logramos es real, y los hijos no son una moda"
04/10/2025 12:18,Vicente,,"Piensalo, te parece?"
09/10/2025 12:06,Vicente,,"Buen día, espero estén bien. Al final te animaste a checar con la agencia directo? Aprovecho para preguntar, no sé si has pensado en lo que te comenté para poder ver a Demi un rato?"
09/10/2025 12:12,Tania,,"Buen día, si fui a la agencia pero me cobran 2700 por diagnóstico con cita de duración 1 hora entonces haciendo cuentas de más o menos cuánto gastaría, mejor llame al taller que asignó la agencia y agendaron para lunes a las 12 y quizá solo sea diagnóstico o quizá se queda depende de cómo la vean"
09/10/2025 12:19,Vicente,,"Yo sé que tú quieres en la agencia, te sientes cómoda con ir al taller?"
09/10/2025 12:22,Tania,,"Podríamos intentar que te vea de manera casual, no sé, en un McDonalds o en la plaza Santa Fe, para ver cómo reacciona. Tú sabes que Demian todavía no se siente cómodo estando solo contigo, tan solo como cuando le pedíamos que te acompañara al Oxxo, y tú y yo sabemos sus razones. Creo que podríamos intentar así primero, y según cómo Demi se sienta, ver los siguientes pasos. También me gustaría que se tomara en cuenta cómo me siento yo en este proceso, para que sea algo tranquilo para todos y que en especial no confunda a Demian"
09/10/2025 12:23,Tania,"➜ Respuesta para usted, 2025-10-09 12:19:47: « Yo sé que tú quieres en la agencia, te sientes cómoda con ir al taller? »",Si pues si es un lugar certificado y da garantía. Yo creo que la dueña paga un seguro y pues es como si yo hubiera chocado a alguien más y ese alguien quisiera arreglarse con el seguro entonces pues así ya ni modo
09/10/2025 12:23,Tania,"➜ Respuesta para usted, 2025-10-09 12:19:47: « Yo sé que tú quieres en la agencia, te sientes cómoda con ir al taller? »",Ya estoy viendo un préstamo para pagarlo
09/10/2025 12:24,Tania,,Y lo que no se es si le hacen el cargo directo o que
09/10/2025 12:30,Vicente,,Exige piezas nuevas
09/10/2025 12:31,Vicente,"➜ Respuesta para Sin nombre, 2025-10-09 12:24:08: « Y lo que no se es si le hacen el cargo directo o que »","No, eso se paga con el seguro, a nombre de quien esté la póliza es independiente"
09/10/2025 12:34,Vicente,,"Lo importante es que tú te sientas cómoda con el servicio y quien lo vaya a hacer, si no quieres el taller no tienes por qué ir al taller"
09/10/2025 12:43,Tania,"➜ Respuesta para usted, 2025-10-09 12:30:35: « Exige piezas nuevas  »",Pues no se como lo vayan a manejar pero igual no se que tan fácil sea lo de las piezas nuevas porque ya no producen Tarraco y creo que es importada
09/10/2025 12:43,Tania,"➜ Respuesta para Sin nombre, 2025-10-09 12:24:08: « Y lo que no se es si le hacen el cargo directo o que »",Ósea como? Es que no me dijeron a. Donde ir a pagar
09/10/2025 13:08,Vicente,,Cuando entregas la unidad te dicen
09/10/2025 13:49,Vicente,,"Entiendo que no le comentaste para ver qué opinaba. Si algo casual crees que puede funcionar, yo estoy dispuesto. Igual que tú quiero lo mejor para Demi, protegerlo también es no forzarlo a algo que lo disguste o confunda. Y claro que te considero, si piensas que esto te va a generar inconvenientes, o problemas de algún tipo, siempre puedes decírmelo"
09/10/2025 13:59,Tania,,"Ok, gracias. Si creo que lo mejor es casual"
09/10/2025 14:56,Vicente,,"Ok, pues cosa de ponernos de acuerdo entonces"
09/10/2025 15:16,Tania,,Sip
09/10/2025 16:02,Vicente,,Oye y del mert?
